file_path,start_time,end_time,label,is_augmented,aug_type,original_file
dataset\augmented\เหี้ย (แทน)_เหี้ย_16_light.wav,0.0,1.6853125,เหี้ย,True,light,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\single\เหี้ย\เหี้ย (แทน).wav
dataset\augmented\โอ๊ยเย็ดเป็ดหีแม่มึงร่วง_none_17_nan.wav,0.0,1.153,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\โอ๊ยเย็ดเป็ดหีแม่มึงร่วง.wav
dataset\augmented\บิวพูดเหี้ย_เหี้ย_18_light.wav,0.0,0.20125,เหี้ย,True,light,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บิวพูดเหี้ย.wav
dataset\augmented\นิสัยควยๆแบบนี้_none_19_nan.wav,0.0,1.5316875,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\นิสัยควยๆแบบนี้.wav
dataset\augmented\เป็นสวะแล้วยังทำนิสัยหีๆอีก_หี_20_medium.wav,0.0,0.1648125,หี,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เป็นสวะแล้วยังทำนิสัยหีๆอีก.wav
dataset\augmented\เอ๊ย เป็นเหี้ยไรวะกูถามจริง_none_21_nan.wav,0.0,0.099,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เอ๊ย เป็นเหี้ยไรวะกูถามจริง.wav
dataset\augmented\เอ๊ย เป็นเหี้ยไรวะกูถามจริง_กู_22_nan.wav,0.0,0.0654375,กู,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เอ๊ย เป็นเหี้ยไรวะกูถามจริง.wav
dataset\augmented\Janพูดถึงอาท_ควย_23_nan.wav,0.0,0.138,ควย,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\Janพูดถึงอาท.wav
dataset\augmented\ฮื่อ มึง ก็มันรักเขาไปแล้วอ่ะ_none_24_nan.wav,0.0,2.168375,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\noise\ฮื่อ มึง ก็มันรักเขาไปแล้วอ่ะ.wav
dataset\augmented\พูดควยๆแบบนี้ใครจะอยากอยู่ใกล้_none_25_light_none.wav,0.0,0.1335,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\พูดควยๆแบบนี้ใครจะอยากอยู่ใกล้.wav
dataset\augmented\เราควรทิ้งความคิดเชิงลบเหมือนกำจัดสวะออกจากแม่น้ำ_สวะ_26_nan.wav,0.0,0.28125,สวะ,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เราควรทิ้งความคิดเชิงลบเหมือนกำจัดสวะออกจากแม่น้ำ.wav
dataset\augmented\กูว่านะพรุ่งนี้ตื่นสายวะ_none_27_light_none.wav,0.0,1.8574375,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\กูว่านะพรุ่งนี้ตื่นสายวะ.wav
dataset\augmented\เป็นสวะแล้วยังทำนิสัยหีๆอีก_สวะ_28_medium.wav,0.0,0.2616875,สวะ,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เป็นสวะแล้วยังทำนิสัยหีๆอีก.wav
dataset\augmented\โอ๊ย เย็ดแม่ เจ็บชิบหาย_none_29_light_none.wav,0.0,0.817875,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\noise\โอ๊ย เย็ดแม่ เจ็บชิบหาย.wav
dataset\augmented\อั้มด่าแหลก_เย็ด_30_nan.wav,0.0,0.158125,เย็ด,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อั้มด่าแหลก.wav
dataset\augmented\อย่าฟังความข้างเดียวสิ กูน่ะบอกอยู่เสมอแล้วว่ากูเป็นคนดี_กู_31_light.wav,0.0,0.1619375,กู,True,light,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อย่าฟังความข้างเดียวสิ กูน่ะบอกอยู่เสมอแล้วว่ากูเป็นคนดี.wav
dataset\augmented\ทายคำเย็ดแม่_none_32_nan.wav,0.0,1.0771875,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ทายคำเย็ดแม่.wav
dataset\augmented\บารมีมารดา_หี_33_medium.wav,0.0,0.3256875,หี,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บารมีมารดา.wav
dataset\augmented\บิวพูดควย_ควย_34_medium.wav,0.0,0.4205,ควย,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บิวพูดควย.wav
dataset\augmented\กู(หลายคำ)_none_35_light_none.wav,0.0,0.7974375,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\กู(หลายคำ).wav
dataset\augmented\นิสัยควยๆแบบนี้_none_36_nan.wav,0.0,1.1566875,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\นิสัยควยๆแบบนี้.wav
dataset\augmented\กล้าดียังไงมาแตะคนรัก_none_37_nan.wav,0.0,2.2519375,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\กล้าดียังไงมาแตะคนรัก.wav
dataset\augmented\ป้าๆก๋วยเตี๋ยวถุงนึง_none_38_nan.wav,0.0,1.3285625,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ป้าๆก๋วยเตี๋ยวถุงนึง.wav
dataset\augmented\โต้งไล่หมา_กู_39_light.wav,0.0,0.11325,กู,True,light,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\โต้งไล่หมา.wav
dataset\augmented\คอมโครตดี_none_40_light_none.wav,0.0,5.5160625,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\คอมโครตดี.wav
dataset\augmented\รถติดบนทางด่วน_แตด_41_heavy.wav,0.0,0.177625,แตด,True,heavy,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\noise\รถติดบนทางด่วน.wav
dataset\augmented\อั้มด่าแหลก_ควย_42_nan.wav,0.0,0.1353125,ควย,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อั้มด่าแหลก.wav
dataset\augmented\นิสัยควยๆแบบนี้_none_43_nan.wav,0.0,0.1356875,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\นิสัยควยๆแบบนี้.wav
dataset\augmented\เย็ดแม่ กูไม่โอเคกับสิ่งที่มึงทำเลยนะ_เย็ด_44_medium.wav,0.0,0.13375,เย็ด,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เย็ดแม่ กูไม่โอเคกับสิ่งที่มึงทำเลยนะ.wav
dataset\augmented\ไอ้เด็กนี่มันอยากมีปัญหากับกูแล้วสินะ_กู_45_nan.wav,0.0,0.258,กู,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ไอ้เด็กนี่มันอยากมีปัญหากับกูแล้วสินะ.wav
dataset\augmented\เช้านี้สดใส_เหี้ย_46_light.wav,0.0,0.33925,เหี้ย,True,light,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เช้านี้สดใส.wav
dataset\augmented\ไอ้อาร์ตพูดเหี้ย_เหี้ย_47_nan.wav,0.0,0.2399375,เหี้ย,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ไอ้อาร์ตพูดเหี้ย.wav
dataset\augmented\ไอ้เหี้ยทำไมนิสัยมึงสวะได้ขนาดนี้_none_48_nan.wav,0.0,1.3685625,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ไอ้เหี้ยทำไมนิสัยมึงสวะได้ขนาดนี้.wav
dataset\augmented\บัวด่านัท_สวะ_49_medium.wav,0.0,0.3519375,สวะ,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บัวด่านัท.wav
dataset\augmented\บิวพูดควย_none_50_light_none.wav,0.0,0.0179375,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บิวพูดควย.wav
dataset\augmented\อั้มด่าแหลก_เหี้ย_51_nan.wav,0.0,0.193125,เหี้ย,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อั้มด่าแหลก.wav
dataset\augmented\นี่มันจะเกินไปแล้วนะไอเย็ดแม่_none_52_light_none.wav,0.0,1.2019375,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\นี่มันจะเกินไปแล้วนะไอเย็ดแม่.wav
dataset\augmented\ฉันไปเรียนภาษาใต้มา_แตด_53_nan.wav,0.0,0.711625,แตด,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ฉันไปเรียนภาษาใต้มา.wav
dataset\augmented\ค่ายเหี้ย2_แตด_54_heavy.wav,0.0,0.1376875,แตด,True,heavy,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\noise\ค่ายเหี้ย2.wav
dataset\augmented\เย็ดแม่มึงคิดยังไงถึงทำอย่างนี้_none_55_nan.wav,0.0,0.2728125,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เย็ดแม่มึงคิดยังไงถึงทำอย่างนี้.wav
dataset\augmented\ดูถูกหีไม่มีวันเจริญ_แตด_56_heavy.wav,0.0,0.19975,แตด,True,heavy,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ดูถูกหีไม่มีวันเจริญ.wav
dataset\augmented\แม่งใช้เส้นสายหัวควยของมัน เพื่อให้ได้สิ่งที่ต้องการ_none_57_nan.wav,0.0,2.21325,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\แม่งใช้เส้นสายหัวควยของมัน เพื่อให้ได้สิ่งที่ต้องการ.wav
dataset\augmented\เย็ด (แทน)_เย็ด_58_nan.wav,0.0,1.8133125,เย็ด,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\single\เย็ด\เย็ด (แทน).wav
dataset\augmented\ไอ้เหี้ยทำไมนิสัยมึงสวะได้ขนาดนี้_none_59_nan.wav,0.0,0.1869375,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ไอ้เหี้ยทำไมนิสัยมึงสวะได้ขนาดนี้.wav
dataset\augmented\มึงไม่เคยฟังใครเลยใช่ไหม เย็ดแม่_มึง_60_nan.wav,0.0,0.1365625,มึง,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\มึงไม่เคยฟังใครเลยใช่ไหม เย็ดแม่.wav
dataset\augmented\เป็นสวะแล้วยังทำนิสัยหีๆอีก_none_61_nan.wav,0.0,1.566125,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เป็นสวะแล้วยังทำนิสัยหีๆอีก.wav
dataset\augmented\แดนแถมควย_none_62_light_none.wav,0.0,1.0713125,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\แดนแถมควย.wav
dataset\augmented\ไอ้คนวิปริต ไอ้คนเย็ดแม่_none_63_light_none.wav,0.0,1.0986875,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ไอ้คนวิปริต ไอ้คนเย็ดแม่.wav
dataset\augmented\กู (โบท)_กู_64_nan.wav,0.0,2.53,กู,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\single\กู\กู (โบท).wav
dataset\augmented\ก็มาดิสะไอ้สัสเป็นเหี้ยไรวะ_ควย_65_medium.wav,0.0,0.2526875,ควย,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ก็มาดิสะไอ้สัสเป็นเหี้ยไรวะ.wav
dataset\augmented\ก็มาดิสะไอ้สัสเป็นเหี้ยไรวะ_เหี้ย_66_nan.wav,0.0,0.3690625,เหี้ย,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ก็มาดิสะไอ้สัสเป็นเหี้ยไรวะ.wav
dataset\augmented\บารมีมารดา_มึง_67_nan.wav,0.0,0.164125,มึง,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บารมีมารดา.wav
dataset\augmented\อารมณ์แบบว่างี้ป้ะ_แตด_68_nan.wav,0.0,0.1524375,แตด,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อารมณ์แบบว่างี้ป้ะ.wav
dataset\augmented\อารมณ์แบบว่างี้ป้ะ_ควย_69_nan.wav,0.0,0.39125,ควย,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อารมณ์แบบว่างี้ป้ะ.wav
dataset\augmented\บัวด่านัท_none_70_nan.wav,0.0,2.0186875,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บัวด่านัท.wav
dataset\augmented\กูว่ามันไม่ใช่เรื่องง่าย แต่กูก็จะลองดู_กู_71_nan.wav,0.0,0.12275,กู,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\กูว่ามันไม่ใช่เรื่องง่าย แต่กูก็จะลองดู.wav
dataset\augmented\ป้าๆก๋วยเตี๋ยวถุงนึง_มึง_72_nan.wav,0.0,0.1600625,มึง,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ป้าๆก๋วยเตี๋ยวถุงนึง.wav
dataset\augmented\จะว่าไปแล้วมึงติดเงินกูอยู่50อะดิฟ_none_73_nan.wav,0.0,0.5401875,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\จะว่าไปแล้วมึงติดเงินกูอยู่50อะดิฟ.wav
dataset\augmented\ไอ้เหี้ย ใครกินของกูหมดเนี่ย_none_74_nan.wav,0.0,0.3046875,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ไอ้เหี้ย ใครกินของกูหมดเนี่ย.wav
dataset\augmented\รถติดบนทางด่วน_แตด_75_heavy.wav,0.0,0.177625,แตด,True,heavy,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\noise\รถติดบนทางด่วน.wav
dataset\augmented\พิ้งค์ด่าหนัง_สวะ_76_nan.wav,0.0,0.2275,สวะ,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\พิ้งค์ด่าหนัง.wav
dataset\augmented\ถามจริงนะมึง เรื่องแบบนี้พูดออกมาได้ยังไง_none_77_nan.wav,0.0,1.118125,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ถามจริงนะมึง เรื่องแบบนี้พูดออกมาได้ยังไง.wav
dataset\augmented\ไอ้คนวิปริต ไอ้คนเย็ดแม่_none_78_nan.wav,0.0,1.0986875,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ไอ้คนวิปริต ไอ้คนเย็ดแม่.wav
dataset\augmented\กู(หลายคำ)_กู_79_nan.wav,0.0,0.6280625,กู,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\กู(หลายคำ).wav
dataset\augmented\พิ้งค์ด่าหนัง_แตด_80_nan.wav,0.0,0.1701875,แตด,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\พิ้งค์ด่าหนัง.wav
dataset\augmented\หีหอมพ่อง_หี_81_medium.wav,0.0,0.1238125,หี,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\หีหอมพ่อง.wav
dataset\augmented\บัวด่านัท_none_82_nan.wav,0.0,1.462125,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บัวด่านัท.wav
dataset\augmented\บัวด่านัท_none_83_light_none.wav,0.0,0.32525,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บัวด่านัท.wav
dataset\augmented\กาลครั้งมีไอ้สวะตัวหนึ่ง_สวะ_84_medium.wav,0.0,0.2165625,สวะ,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\กาลครั้งมีไอ้สวะตัวหนึ่ง.wav
dataset\augmented\อารมณ์แบบว่างี้ป้ะ_เหี้ย_85_light.wav,0.0,0.2154375,เหี้ย,True,light,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อารมณ์แบบว่างี้ป้ะ.wav
dataset\augmented\มึงไม่เคยฟังใครเลยใช่ไหม เย็ดแม่_เย็ด_86_medium.wav,0.0,0.0886875,เย็ด,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\มึงไม่เคยฟังใครเลยใช่ไหม เย็ดแม่.wav
dataset\augmented\บัวด่านัท_ควย_87_nan.wav,0.0,0.394125,ควย,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บัวด่านัท.wav
dataset\augmented\อารมณ์แบบว่างี้ป้ะ_สวะ_88_medium.wav,0.0,0.393,สวะ,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อารมณ์แบบว่างี้ป้ะ.wav
dataset\augmented\แตด (โบท)_แตด_89_heavy.wav,0.0,1.73,แตด,True,heavy,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\single\แตด\แตด (โบท).wav
dataset\augmented\เอ๊ย เป็นเหี้ยไรวะกูถามจริง_ควย_90_medium.wav,0.0,0.1189375,ควย,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เอ๊ย เป็นเหี้ยไรวะกูถามจริง.wav
dataset\augmented\อีกระเทย มึงอะอีกระเทย กูอะตุ๊แท้ มึงอะตุ๊ดเทียม_none_91_nan.wav,0.0,1.0283125,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อีกระเทย มึงอะอีกระเทย กูอะตุ๊แท้ มึงอะตุ๊ดเทียม.wav
dataset\augmented\ค่ายเหี้ย2_เหี้ย_92_light.wav,0.0,0.200625,เหี้ย,True,light,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\noise\ค่ายเหี้ย2.wav
dataset\augmented\หีหอมพ่อง_หี_93_medium.wav,0.0,0.1509375,หี,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\หีหอมพ่อง.wav
dataset\augmented\ป้าๆก๋วยเตี๋ยวถุงนึง_สวะ_94_nan.wav,0.0,0.367625,สวะ,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ป้าๆก๋วยเตี๋ยวถุงนึง.wav
dataset\augmented\แตด (แทน)_แตด_95_nan.wav,0.0,2.112,แตด,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\single\แตด\แตด (แทน).wav
dataset\augmented\บิวพูดควย_ควย_96_nan.wav,0.0,0.233,ควย,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บิวพูดควย.wav
dataset\augmented\อย่าทำเหมือนกูไม่มีตัวตนนะ เย็ดแม่_none_97_nan.wav,0.0,0.8009375,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อย่าทำเหมือนกูไม่มีตัวตนนะ เย็ดแม่.wav
dataset\augmented\กาลครั้งมีไอ้สวะตัวหนึ่ง_ควย_98_nan.wav,0.0,0.2074375,ควย,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\กาลครั้งมีไอ้สวะตัวหนึ่ง.wav
dataset\augmented\Janพูดถึงอาท_none_99_light_none.wav,0.0,1.5475625,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\Janพูดถึงอาท.wav
dataset\augmented\อั้มด่าแหลก_ควย_100_medium.wav,0.0,0.1353125,ควย,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อั้มด่าแหลก.wav
dataset\augmented\ไอ้เหี้ยทำไมนิสัยมึงสวะได้ขนาดนี้_none_101_nan.wav,0.0,0.4865,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ไอ้เหี้ยทำไมนิสัยมึงสวะได้ขนาดนี้.wav
dataset\augmented\ทายคำเย็ดแม่_none_102_light_none.wav,0.0,10.6675,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ทายคำเย็ดแม่.wav
dataset\augmented\เย็ดแม่ มึงไม่แคร์อะไรเลยใช่ไหมอ่ะ_มึง_103_nan.wav,0.0,0.1446875,มึง,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เย็ดแม่ มึงไม่แคร์อะไรเลยใช่ไหมอ่ะ.wav
dataset\augmented\ควย (แทน)_ควย_104_medium.wav,0.0,2.4533125,ควย,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\single\ควย\ควย (แทน).wav
dataset\augmented\เหี้ย (เปอร์)_เหี้ย_105_nan.wav,0.0,2.7306875,เหี้ย,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\single\เหี้ย\เหี้ย (เปอร์).wav
dataset\augmented\กูตั้งใจจะเรียนให้จบปีนี้_none_106_nan.wav,0.0,0.168375,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\กูตั้งใจจะเรียนให้จบปีนี้.wav
dataset\augmented\ไอ้เหี้ย ใครกินของกูหมดเนี่ย_เหี้ย_107_nan.wav,0.0,0.4106875,เหี้ย,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\ไอ้เหี้ย ใครกินของกูหมดเนี่ย.wav
dataset\augmented\อารมณ์แบบว่างี้ป้ะ_สวะ_108_medium.wav,0.0,0.393,สวะ,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อารมณ์แบบว่างี้ป้ะ.wav
dataset\augmented\กายพูดกูรัวๆ_none_109_nan.wav,0.0,0.0989375,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\กายพูดกูรัวๆ.wav
dataset\augmented\พิ้งค์ด่าหนัง_none_110_light_none.wav,0.0,3.0375625,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\พิ้งค์ด่าหนัง.wav
dataset\augmented\อาทโดนFBI_สวะ_111_medium.wav,0.0,0.333375,สวะ,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\อาทโดนFBI.wav
dataset\augmented\เอ๊ย เป็นเหี้ยไรวะกูถามจริง_หี_112_nan.wav,0.0,0.1924375,หี,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\เอ๊ย เป็นเหี้ยไรวะกูถามจริง.wav
dataset\augmented\แปปนึง มึงใครเนี่ย มึงใคร มึงคือใคร_none_113_light_none.wav,0.0,2.1468125,none,True,light_none,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\แปปนึง มึงใครเนี่ย มึงใคร มึงคือใคร.wav
dataset\augmented\บารมีมารดา_none_114_nan.wav,0.0,0.990625,none,True,,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บารมีมารดา.wav
dataset\augmented\บิวพูดควย_ควย_115_medium.wav,0.0,0.18825,ควย,True,medium,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\us\clear\บิวพูดควย.wav
dataset\augmented\มึง (แทน)_มึง_116_light.wav,0.0,1.6,มึง,True,light,C:\Users\muldi\Documents\Playground\University\senior-project-1\dataset\single\มึง\มึง (แทน).wav
