File Name,Start Time (s),End Time (s),Label
./dataset\ถามอะไรแปลกๆกูก็ต้องกินมาม่าอยู่แล้วสิ.wav,1.293457,2.947875,none
./dataset\พูดอะไรเนี่ย เย็ดแม่ ฟังไม่รู้เรื่อง.wav,1.25836,1.965216,เย็ดแม่
./dataset\มึง กูหิวข้าววะ อยากกินตีนอะ.wav,0.0,0.530361,none
./dataset\มึง กูหิวข้าววะ อยากกินตีนอะ.wav,0.530361,0.91843,มึง
./dataset\มึง กูหิวข้าววะ อยากกินตีนอะ.wav,0.91843,1.112465,none
./dataset\มึง กูหิวข้าววะ อยากกินตีนอะ.wav,1.112465,1.303265,กู
./dataset\มึง กูหิวข้าววะ อยากกินตีนอะ.wav,1.303265,4.132936,none
./dataset\มึงนี่มัน ไอ้เย็ดแม่.wav,1.695323,2.354455,เย็ดแม่
./dataset\อย่าฟังความข้างเดียวสิ กูน่ะบอกอยู่เสมอแล้วว่ากูเป็นคนดี.wav,0.0,2.582584,none
./dataset\อย่าฟังความข้างเดียวสิ กูน่ะบอกอยู่เสมอแล้วว่ากูเป็นคนดี.wav,2.582584,2.781634,กู
./dataset\อย่าฟังความข้างเดียวสิ กูน่ะบอกอยู่เสมอแล้วว่ากูเป็นคนดี.wav,2.781634,5.351016,none
./dataset\อีกระเทย มึงอะอีกระเทย กูอะตุ๊แท้ มึงอะตุ๊ดเทียม.wav,0.0,2.014317,none
./dataset\อีกระเทย มึงอะอีกระเทย กูอะตุ๊แท้ มึงอะตุ๊ดเทียม.wav,2.014317,2.40179,มึง
./dataset\อีกระเทย มึงอะอีกระเทย กูอะตุ๊แท้ มึงอะตุ๊ดเทียม.wav,2.40179,4.050235,none
./dataset\อีกระเทย มึงอะอีกระเทย กูอะตุ๊แท้ มึงอะตุ๊ดเทียม.wav,4.050235,4.343203,กู
./dataset\อีกระเทย มึงอะอีกระเทย กูอะตุ๊แท้ มึงอะตุ๊ดเทียม.wav,4.343203,5.254505,none
./dataset\อีกระเทย มึงอะอีกระเทย กูอะตุ๊แท้ มึงอะตุ๊ดเทียม.wav,5.254505,5.593375,มึง
./dataset\อีกระเทย มึงอะอีกระเทย กูอะตุ๊แท้ มึงอะตุ๊ดเทียม.wav,5.593375,6.88,none
./dataset\ฮัลโหลๆ ได้ยินที่กูพูดป่าวไอดิฟ.wav,0.0,2.637363,none
./dataset\ฮัลโหลๆ ได้ยินที่กูพูดป่าวไอดิฟ.wav,2.637363,2.799477,กู
./dataset\ฮัลโหลๆ ได้ยินที่กูพูดป่าวไอดิฟ.wav,2.799477,3.84,none
./dataset\เข้ามาสิ ไอ้เย็ดแม่.wav,1.538512,2.368785,เย็ดแม่
./dataset\เข้ามาเลยไอ้พวกเด็กเปรต กูคนนี้จะลงทัณฑ์เอง.wav,0.0,2.807768,none
./dataset\เข้ามาเลยไอ้พวกเด็กเปรต กูคนนี้จะลงทัณฑ์เอง.wav,2.807768,3.149977,กู
./dataset\เข้ามาเลยไอ้พวกเด็กเปรต กูคนนี้จะลงทัณฑ์เอง.wav,3.149977,5.47123,none
./dataset\เมื่อวานเว้ยกูเห็นมึงกับไอกิตอะไปทำอะไรที่หลังซอย.wav,0.0,2.11369,none
./dataset\เมื่อวานเว้ยกูเห็นมึงกับไอกิตอะไปทำอะไรที่หลังซอย.wav,2.11369,2.386946,กู
./dataset\เมื่อวานเว้ยกูเห็นมึงกับไอกิตอะไปทำอะไรที่หลังซอย.wav,2.386946,3.646591,none
./dataset\เมื่อวานเว้ยกูเห็นมึงกับไอกิตอะไปทำอะไรที่หลังซอย.wav,3.646591,3.941746,มึง
./dataset\เมื่อวานเว้ยกูเห็นมึงกับไอกิตอะไปทำอะไรที่หลังซอย.wav,3.941746,8.16,none
./dataset\เย็ดแม่.wav,0.381868,1.539499,เย็ดแม่
./dataset\เย็ดแม่2.wav,0.345103,1.5706,เย็ดแม่
./dataset\เย็ดแม่3.wav,0.208087,1.427904,เย็ดแม่
./dataset\เย็ดแม่4.wav,0.136188,1.214153,เย็ดแม่
./dataset\เย็ดแม่5.wav,0.294047,1.196538,เย็ดแม่
./dataset\เย็ดแม่6.wav,0.26858,1.348519,เย็ดแม่
./dataset\เย็ดแม่7.wav,0.480182,2.032255,เย็ดแม่
./dataset\เย็ดแม่8.wav,0.419727,1.337327,เย็ดแม่
./dataset\เย็ดแม่9.wav,0.331891,1.977069,เย็ดแม่
./dataset\เย็ดแม่มความคิดโครตเจ๋ง.wav,0.239615,1.26,เย็ดแม่
./dataset\เย็ดแม่มึงคิดยังไงถึงทำอย่างนี้.wav,0.250569,0.801822,เย็ดแม่
./dataset\เออใช่ กูเห็นไอกายมันลงสตอรี่ ชวนสาวมาดูแมวที่.wav,0.0,2.195179,none
./dataset\เออใช่ กูเห็นไอกายมันลงสตอรี่ ชวนสาวมาดูแมวที่.wav,2.195179,2.340268,กู
./dataset\เออใช่ กูเห็นไอกายมันลงสตอรี่ ชวนสาวมาดูแมวที่.wav,2.340268,5.84,none
./dataset\โอ๊ย เย็ดแม่ เจ็บชิบหาย.wav,0.813658,1.531052,เย็ดแม่
./dataset\ไอดิฟ อัดเสียงเสร็จแล้วกูไปนอนได้แล้วใช่ไหม.wav,0.0,3.113854,none
./dataset\ไอดิฟ อัดเสียงเสร็จแล้วกูไปนอนได้แล้วใช่ไหม.wav,3.113854,3.226938,กู
./dataset\ไอดิฟ อัดเสียงเสร็จแล้วกูไปนอนได้แล้วใช่ไหม.wav,4.134077,5.707139,none
./dataset\ไอ้เด็กนี่มันอยากมีปัญหากับกูแล้วสินะ.wav,0.0,2.254984,none
./dataset\ไอ้เด็กนี่มันอยากมีปัญหากับกูแล้วสินะ.wav,2.254984,2.512986,กู
./dataset\ไอ้เด็กนี่มันอยากมีปัญหากับกูแล้วสินะ.wav,2.512986,3.456626,none
./dataset\ไอ้เย็ดแม่เอ๊ย โทรมาทำไม กูง่วง.wav,0.57261,1.267637,เย็ดแม่
